Participant_ID,WMC,Read_ShortTerm,Write_ShortTerm,Listen_ShortTerm,Speak_ShortTerm,Read_LongTerm,Write_LongTerm,Listen_LongTerm,Speak_LongTerm,Read_Load,Write_Load,Listen_Load,Speak_Load
P01,11,12,12,14,17,12,13,14,11,32,16,20,25
P02,9,15,13,16,12,12,9,16,13,10,19,15,33
P03,11,13,11,11,19,10,9,15,14,30,30,20,20
P04,13,12,11,12,10,12,13,14,15,21,29,17,24
P05,9,14,14,12,16,12,11,11,10,14,23,24,26
P06,9,12,15,9,21,10,14,14,12,25,25,19,18
P07,13,13,13,14,12,14,13,9,12,23,35,16,23
P08,11,11,15,14,13,12,11,11,12,16,18,18,21
P09,9,12,13,13,15,9,9,10,17,22,28,22,22
P10,11,13,12,13,13,12,8,12,14,18,22,17,15
P11,9,14,13,10,10,10,11,19,10,22,22,16,21
P12,9,13,15,12,15,13,14,6,15,26,33,21,25
P13,10,13,13,12,11,13,12,14,18,34,31,21,32
P14,6,13,16,11,16,10,8,6,15,12,31,17,29
P15,6,11,8,13,12,13,12,10,10,38,35,17,38
P16,8,12,14,14,19,12,13,15,12,7,24,21,15
P17,7,12,13,18,12,13,9,12,16,20,29,13,28
P18,10,14,12,14,14,14,12,8,11,26,21,13,22
P19,8,13,13,14,17,11,12,9,14,23,26,16,38
P20,7,11,9,13,11,10,9,14,15,16,22,19,15
P21,13,13,12,8,15,10,13,9,11,20,24,21,14
P22,9,13,13,13,18,10,13,13,13,17,29,27,16
P23,10,12,15,13,10,11,14,12,6,17,16,24,7
P24,7,14,12,20,15,12,14,10,11,28,42,19,17
P25,8,14,11,13,15,12,8,19,12,24,15,20,15
P26,10,14,12,14,17,13,9,14,10,16,13,15,22
P27,7,12,14,13,11,11,13,5,17,28,34,20,24
P28,10,13,13,10,11,14,13,12,10,24,30,18,36
P29,8,13,12,16,16,11,13,10,12,27,29,21,29
P30,9,14,14,15,15,16,22,15,13,26,29,16,16
