Participant_ID,WMC,Method,ShortTerm,LongTerm,Load
P01,11,Listen,14,14,20
P01,11,Read,12,12,32
P01,11,Speak,17,11,25
P01,11,Write,12,13,16
P02,9,Listen,16,16,15
P02,9,Read,15,12,10
P02,9,Speak,12,13,33
P02,9,Write,13,9,19
P03,11,Listen,11,15,20
P03,11,Read,13,10,30
P03,11,Speak,19,14,20
P03,11,Write,11,9,30
P04,13,Listen,12,14,17
P04,13,Read,12,12,21
P04,13,Speak,10,15,24
P04,13,Write,11,13,29
P05,9,Listen,12,11,24
P05,9,Read,14,12,14
P05,9,Speak,16,10,26
P05,9,Write,14,11,23
P06,9,Listen,9,14,19
P06,9,Read,12,10,25
P06,9,Speak,21,12,18
P06,9,Write,15,14,25
P07,13,Listen,14,9,16
P07,13,Read,13,14,23
P07,13,Speak,12,12,23
P07,13,Write,13,13,35
P08,11,Listen,14,11,18
P08,11,Read,11,12,16
P08,11,Speak,13,12,21
P08,11,Write,15,11,18
P09,9,Listen,13,10,22
P09,9,Read,12,9,22
P09,9,Speak,15,17,22
P09,9,Write,13,9,28
P10,11,Listen,13,12,17
P10,11,Read,13,12,18
P10,11,Speak,13,14,15
P10,11,Write,12,8,22
P11,9,Listen,10,19,16
P11,9,Read,14,10,22
P11,9,Speak,10,10,21
P11,9,Write,13,11,22
P12,9,Listen,12,6,21
P12,9,Read,13,13,26
P12,9,Speak,15,15,25
P12,9,Write,15,14,33
P13,10,Listen,12,14,21
P13,10,Read,13,13,34
P13,10,Speak,11,18,32
P13,10,Write,13,12,31
P14,6,Listen,11,6,17
P14,6,Read,13,10,12
P14,6,Speak,16,15,29
P14,6,Write,16,8,31
P15,6,Listen,13,10,17
P15,6,Read,11,13,38
P15,6,Speak,12,10,38
P15,6,Write,8,12,35
P16,8,Listen,14,15,21
P16,8,Read,12,12,7
P16,8,Speak,19,12,15
P16,8,Write,14,13,24
P17,7,Listen,18,12,13
P17,7,Read,12,13,20
P17,7,Speak,12,16,28
P17,7,Write,13,9,29
P18,10,Listen,14,8,13
P18,10,Read,14,14,26
P18,10,Speak,14,11,22
P18,10,Write,12,12,21
P19,8,Listen,14,9,16
P19,8,Read,13,11,23
P19,8,Speak,17,14,38
P19,8,Write,13,12,26
P20,7,Listen,13,14,19
P20,7,Read,11,10,16
P20,7,Speak,11,15,15
P20,7,Write,9,9,22
P21,13,Listen,8,9,21
P21,13,Read,13,10,20
P21,13,Speak,15,11,14
P21,13,Write,12,13,24
P22,9,Listen,13,13,27
P22,9,Read,13,10,17
P22,9,Speak,18,13,16
P22,9,Write,13,13,29
P23,10,Listen,13,12,24
P23,10,Read,12,11,17
P23,10,Speak,10,6,7
P23,10,Write,15,14,16
P24,7,Listen,20,10,19
P24,7,Read,14,12,28
P24,7,Speak,15,11,17
P24,7,Write,12,14,42
P25,8,Listen,13,19,20
P25,8,Read,14,12,24
P25,8,Speak,15,12,15
P25,8,Write,11,8,15
P26,10,Listen,14,14,15
P26,10,Read,14,13,16
P26,10,Speak,17,10,22
P26,10,Write,12,9,13
P27,7,Listen,13,5,20
P27,7,Read,12,11,28
P27,7,Speak,11,17,24
P27,7,Write,14,13,34
P28,10,Listen,10,12,18
P28,10,Read,13,14,24
P28,10,Speak,11,10,36
P28,10,Write,13,13,30
P29,8,Listen,16,10,21
P29,8,Read,13,11,27
P29,8,Speak,16,12,29
P29,8,Write,12,13,29
P30,9,Listen,15,15,16
P30,9,Read,14,16,26
P30,9,Speak,15,13,16
P30,9,Write,14,22,29
